,Label,Time
1377,cat,0.0172
1378,horse,0.0157
1379,cat,0.0157
1380,cat,0.0174
1381,cat,0.0179
1382,dog,0.0175
1383,cat,0.016
1384,horse,0.0156
1385,horse,0.0158
1386,bird,0.0158
1387,deer,0.0186
1388,car,0.016
1389,cat,0.0179
1390,deer,0.0172
1391,bird,0.0161
1392,dog,0.0167
1393,cat,0.0168
1394,cat,0.0183
1395,horse,0.0168
1396,plane,0.0161
1397,bird,0.0149
1398,horse,0.0177
1399,truck,0.0167
1400,frog,0.0177
1401,deer,0.0161
1402,horse,0.0188
1403,cat,0.0176
1404,deer,0.0168
1405,plane,0.0154
1406,cat,0.0161
1407,bird,0.0168
1408,bird,0.0157
1409,plane,0.0164
1410,frog,0.0163
1411,cat,0.0184
1412,bird,0.0185
1413,cat,0.0168
1414,horse,0.0167
1415,dog,0.0176
1416,bird,0.0183
1417,cat,0.019
1418,plane,0.0182
1419,deer,0.0173
1420,deer,0.0154
1421,deer,0.0161
1422,ship,0.0162
1423,horse,0.0162
1424,dog,0.0182
1425,dog,0.0184
1426,dog,0.0181
1427,dog,0.0181
1428,deer,0.0163
1429,cat,0.0159
1430,frog,0.0169
1431,plane,0.016
1432,horse,0.0177
1433,bird,0.0177
1434,dog,0.016
1435,deer,0.0158
1436,horse,0.0162
1437,bird,0.0173
1438,frog,0.0184
1439,dog,0.016
1440,truck,0.0152
1441,cat,0.0159
1442,cat,0.0163
1443,bird,0.017
1444,horse,0.0162
1445,cat,0.0157
1446,dog,0.0163
1447,dog,0.0161
1448,horse,0.0179
1449,bird,0.0182
1450,dog,0.0157
1451,plane,0.0181
1452,horse,0.0173
1453,deer,0.0165
1454,cat,0.018
1455,ship,0.017
1456,cat,0.0175
1457,cat,0.0167
1458,horse,0.0169
1459,cat,0.0165
1460,dog,0.0161
1461,cat,0.0179
1462,bird,0.0173
1463,deer,0.017
1464,bird,0.0169
1465,horse,0.0182
1466,deer,0.0177
1467,dog,0.0162
1468,frog,0.016
1469,dog,0.018
1470,dog,0.0178
1471,bird,0.0163
1472,dog,0.0167
1473,horse,0.0179
1474,cat,0.017
1475,dog,0.0152
1476,cat,0.0157
1477,cat,0.017
1478,plane,0.016
1479,horse,0.0165
1480,plane,0.0169
1481,cat,0.0162
1482,dog,0.0179
1483,bird,0.016
1484,horse,0.0181
1485,plane,0.0179
1486,cat,0.0173
1487,dog,0.0167
1488,deer,0.0166
1489,deer,0.0159
1490,cat,0.0172
1491,horse,0.0158
1492,dog,0.0163
1493,deer,0.0173
1494,frog,0.0181
1495,dog,0.0166
1496,dog,0.0162
1497,dog,0.0182
1498,deer,0.0171
1499,deer,0.0158
1500,bird,0.0159
1501,bird,0.0156
1502,plane,0.018
1503,bird,0.0157
1504,car,0.016
1505,cat,0.0173
1506,plane,0.0155
1507,cat,0.0165
1508,dog,0.0189
1509,cat,0.0163
1510,dog,0.0157
1511,dog,0.0162
1512,deer,0.016
1513,bird,0.0152
1514,dog,0.0152
1515,bird,0.016
1516,bird,0.0167
1517,deer,0.0171
1518,cat,0.017
1519,deer,0.0187
1520,cat,0.0158
1521,cat,0.0175
1522,dog,0.0161
1523,bird,0.018
1524,ship,0.0174
1525,dog,0.0166
1526,bird,0.0159
1527,ship,0.0182
1528,bird,0.0161
1529,cat,0.0159
1530,plane,0.0161
1531,bird,0.0169
1532,dog,0.0157
1533,dog,0.0163
1534,bird,0.0171
1535,cat,0.0178
1536,ship,0.0171
1537,bird,0.0174
1538,dog,0.0168
1539,bird,0.0167
1540,dog,0.0181
1541,frog,0.0171
1542,ship,0.0173
1543,cat,0.016
1544,dog,0.0171
1545,deer,0.0172
1546,cat,0.0159
1547,horse,0.0185
1548,cat,0.0159
1549,plane,0.018
1550,bird,0.0155
1551,dog,0.0167
1552,horse,0.0169
1553,deer,0.0166
1554,plane,0.016
1555,horse,0.0173
1556,bird,0.0172
1557,plane,0.015
1558,cat,0.0176
1559,horse,0.0149
1560,cat,0.0163
1561,dog,0.0178
1562,cat,0.0162
1563,bird,0.0187
1564,dog,0.0148
1565,plane,0.0156
1566,cat,0.0158
1567,cat,0.0168
1568,cat,0.0158
1569,cat,0.016
1570,cat,0.0173
1571,horse,0.0159
1572,deer,0.0173
1573,bird,0.0159
1574,dog,0.0182
1575,frog,0.0159
1576,bird,0.017
1577,horse,0.0157
1578,cat,0.0159
1579,frog,0.0173
1580,bird,0.017
1581,frog,0.0155
1582,dog,0.0172
1583,deer,0.016
1584,bird,0.0153
1585,dog,0.0155
1586,cat,0.0172
1587,bird,0.0176
1588,bird,0.0177
1589,bird,0.0171
1590,dog,0.0162
1591,cat,0.0181
1592,cat,0.0159
1593,cat,0.0181
1594,frog,0.0184
1595,deer,0.016
1596,deer,0.0173
1597,cat,0.0168
1598,bird,0.0152
1599,plane,0.0159
1600,bird,0.0164
1601,dog,0.0161
1602,plane,0.0164
1603,cat,0.0165
1604,dog,0.0172
1605,dog,0.0161
1606,bird,0.0162
1607,bird,0.0157
1608,bird,0.0185
1609,deer,0.0152
1610,frog,0.0169
1611,cat,0.0161
1612,deer,0.0174
1613,dog,0.0171
1614,dog,0.0154
1615,bird,0.0157
1616,horse,0.018
1617,dog,0.0166
1618,cat,0.0175
1619,dog,0.016
1620,ship,0.0165
1621,deer,0.0165
1622,horse,0.0163
1623,deer,0.0166
1624,bird,0.0163
1625,plane,0.0157
1626,cat,0.0182
1627,frog,0.0161
1628,cat,0.0166
1629,deer,0.0169
1630,bird,0.0157
1631,cat,0.0156
1632,ship,0.0164
1633,cat,0.0177
1634,frog,0.0162
1635,bird,0.018
1636,plane,0.016
1637,car,0.0175
1638,plane,0.0165
1639,horse,0.0179
1640,deer,0.016
1641,horse,0.0167
1642,bird,0.0174
1643,frog,0.018
1644,cat,0.0175
1645,bird,0.0169
1646,horse,0.0176
1647,frog,0.0162
1648,cat,0.0174
1649,dog,0.0178
1650,bird,0.0167
1651,horse,0.0169
1652,dog,0.0175
1653,cat,0.0178
1654,frog,0.0184
1655,cat,0.0169
1656,ship,0.0166
1657,truck,0.0169
1658,dog,0.0169
1659,bird,0.0181
1660,dog,0.019
1661,horse,0.0169
1662,truck,0.016
1663,horse,0.0167
1664,dog,0.016
1665,cat,0.0168
1666,bird,0.017
1667,cat,0.0159
1668,frog,0.0169
1669,deer,0.0167
1670,dog,0.0169
1671,horse,0.0153
1672,dog,0.0161
1673,horse,0.0155
1674,horse,0.0161
1675,bird,0.0159
1676,horse,0.0169
1677,plane,0.0159
1678,deer,0.0181
1679,frog,0.0163
1680,bird,0.0158
1681,dog,0.0173
1682,truck,0.0174
1683,dog,0.0163
1684,cat,0.0162
1685,bird,0.0161
1686,frog,0.0179
1687,frog,0.0175
1688,deer,0.016
1689,horse,0.0161
1690,deer,0.0161
1691,deer,0.016
1692,bird,0.0161
1693,plane,0.0161
1694,dog,0.0173
1695,deer,0.0155
1696,dog,0.0154
1697,frog,0.0169
1698,cat,0.0184
1699,cat,0.016
1700,frog,0.018
1701,bird,0.0167
1702,cat,0.0183
1703,horse,0.0158
1704,cat,0.0177
1705,cat,0.0173
1706,cat,0.0171
1707,bird,0.015
1708,dog,0.0174
1709,horse,0.0162
1710,bird,0.016
1711,bird,0.0166
1712,frog,0.0157
1713,bird,0.0154
1714,cat,0.0149
1715,truck,0.0167
1716,plane,0.0163
1717,frog,0.0169
1718,bird,0.0177
1719,plane,0.0161
1720,cat,0.018
1721,cat,0.0175
1722,dog,0.0153
1723,dog,0.0163
1724,ship,0.0166
1725,cat,0.0177
1726,bird,0.0168
1727,deer,0.0172
1728,deer,0.0149
1729,bird,0.0167
1730,dog,0.0186
1731,dog,0.0181
1732,cat,0.018
1733,cat,0.0161
1734,horse,0.0152
1735,cat,0.0173
1736,horse,0.018
1737,bird,0.0189
1738,bird,0.0173
1739,dog,0.0154
1740,bird,0.0156
1741,cat,0.016
1742,bird,0.0181
1743,cat,0.0159
1744,horse,0.0158
1745,dog,0.0174
1746,ship,0.0167
1747,cat,0.0172
1748,frog,0.0169
1749,bird,0.0168
1750,dog,0.0181
1751,horse,0.016
1752,truck,0.0166
1753,cat,0.0163
1754,bird,0.0158
1755,cat,0.0165
1756,dog,0.0158
1757,truck,0.0185
1758,ship,0.0169
1759,horse,0.015
1760,deer,0.0186
1761,cat,0.0166
1762,truck,0.0171
1763,bird,0.0178
1764,plane,0.0163
1765,deer,0.0176
1766,bird,0.015
1767,cat,0.0172
1768,plane,0.0173
1769,cat,0.0161
1770,dog,0.017
1771,cat,0.0173
1772,ship,0.0161
1773,horse,0.0168
1774,horse,0.0161
1775,cat,0.0163
1776,cat,0.0159
1777,bird,0.0161
1778,deer,0.0174
1779,cat,0.0171
1780,horse,0.0161
1781,cat,0.0161
1782,bird,0.0171
1783,bird,0.0154
1784,deer,0.0162
1785,bird,0.0169
1786,cat,0.0184
1787,plane,0.0171
1788,deer,0.0167
1789,dog,0.0175
1790,horse,0.0163
1791,bird,0.0162
1792,dog,0.0162
1793,truck,0.0182
1794,bird,0.0163
1795,cat,0.0164
1796,bird,0.0172
1797,dog,0.0171
1798,dog,0.0162
1799,plane,0.0169
1800,horse,0.0169
1801,deer,0.0162
1802,car,0.0158
1803,dog,0.0155
1804,dog,0.0183
1805,cat,0.0166
1806,bird,0.0164
1807,dog,0.0163
1808,bird,0.0153
1809,ship,0.0178
1810,horse,0.0179
1811,deer,0.0162
1812,deer,0.0158
1813,deer,0.0172
1814,dog,0.0164
1815,dog,0.0158
1816,deer,0.018
1817,cat,0.0165
1818,cat,0.0166
1819,cat,0.017
1820,frog,0.0164
1821,bird,0.0157
1822,horse,0.0171
1823,cat,0.0158
1824,bird,0.0179
1825,dog,0.016
1826,dog,0.016
1827,dog,0.0159
1828,bird,0.0165
1829,cat,0.0184
1830,dog,0.0161
1831,dog,0.0151
1832,cat,0.0167
1833,cat,0.0167
1834,dog,0.0161
1835,car,0.017
1836,bird,0.0159
1837,cat,0.0174
1838,dog,0.0177
1839,dog,0.0156
1840,dog,0.0156
1841,bird,0.0168
1842,deer,0.0159
1843,bird,0.016
1844,cat,0.0169
1845,plane,0.0186
1846,deer,0.017
1847,bird,0.0168
1848,cat,0.0151
1849,deer,0.016
1850,dog,0.0168
1851,horse,0.0175
1852,bird,0.0158
1853,bird,0.0174
1854,bird,0.0169
1855,plane,0.0156
1856,frog,0.0179
1857,dog,0.0171
1858,cat,0.0169
1859,cat,0.0179
1860,dog,0.0167
1861,dog,0.0168
1862,frog,0.0154
1863,ship,0.0161
1864,dog,0.0162
1865,cat,0.0162
1866,bird,0.0153
1867,cat,0.0154
1868,deer,0.0174
1869,dog,0.0164
1870,cat,0.0161
1871,ship,0.0178
1872,cat,0.0169
1873,frog,0.0176
1874,horse,0.0164
1875,bird,0.0185
1876,cat,0.0156
1877,dog,0.0175
1878,cat,0.0156
1879,dog,0.0164
1880,bird,0.0179
1881,bird,0.0175
1882,frog,0.0159
1883,deer,0.0172
1884,cat,0.0176
1885,bird,0.019
1886,horse,0.0169
1887,deer,0.0169
1888,dog,0.0176
1889,cat,0.0179
1890,ship,0.0172
1891,bird,0.0163
1892,cat,0.0175
1893,truck,0.016
1894,bird,0.0177
1895,deer,0.0176
1896,dog,0.0176
1897,horse,0.0174
1898,plane,0.0161
1899,dog,0.0181
1900,bird,0.0161
1901,horse,0.0156
1902,cat,0.0163
1903,dog,0.0172
1904,bird,0.015
1905,bird,0.0159
1906,ship,0.0167
1907,plane,0.0162
1908,horse,0.0182
1909,horse,0.0156
1910,plane,0.0169
1911,dog,0.016
1912,bird,0.0151
1913,cat,0.0159
1914,deer,0.0176
1915,horse,0.0147
1916,bird,0.0162
1917,bird,0.0163
1918,dog,0.0188
1919,bird,0.0174
1920,bird,0.0164
1921,dog,0.0174
1922,cat,0.0165
1923,ship,0.016
1924,bird,0.0169
1925,truck,0.0186
1926,deer,0.0166
1927,horse,0.0162
1928,cat,0.018
1929,frog,0.0163
1930,dog,0.0172
1931,cat,0.0179
1932,cat,0.0179
1933,bird,0.0158
1934,dog,0.0182
1935,deer,0.0169
1936,bird,0.016
1937,deer,0.0169
1938,dog,0.0188
1939,cat,0.0166
1940,deer,0.0168
1941,dog,0.0181
1942,frog,0.0165
1943,cat,0.0162
1944,frog,0.0172
1945,cat,0.016
1946,bird,0.017
1947,dog,0.0163
1948,dog,0.0178
1949,cat,0.0172
1950,frog,0.0165
1951,dog,0.0166
1952,dog,0.0171
1953,bird,0.0169
1954,cat,0.0157
1955,bird,0.0162
1956,dog,0.0161
1957,plane,0.0175
1958,dog,0.0164
1959,dog,0.0165
1960,dog,0.0158
1961,bird,0.0173
1962,horse,0.0176
1963,dog,0.018
1964,cat,0.0166
1965,bird,0.0156
1966,bird,0.0172
1967,horse,0.0169
1968,ship,0.0176
1969,deer,0.0164
1970,plane,0.0153
1971,cat,0.0162
1972,cat,0.0163
1973,dog,0.0177
1974,horse,0.0179
1975,cat,0.0165
1976,bird,0.0179
1977,frog,0.018
1978,deer,0.0161
1979,dog,0.0169
1980,horse,0.0181
1981,bird,0.0164
1982,truck,0.0151
1983,cat,0.0179
1984,bird,0.0166
1985,bird,0.0173
1986,bird,0.0167
1987,bird,0.0173
1988,bird,0.0166
1989,cat,0.0157
1990,dog,0.0178
1991,dog,0.0161
1992,cat,0.0183
1993,cat,0.0158
1994,dog,0.0167
1995,bird,0.0182
1996,deer,0.0167
1997,dog,0.0169
1998,horse,0.0174
1999,plane,0.0162
2000,bird,0.0159
2001,deer,0.0181
2002,horse,0.0167
2003,cat,0.0179
2004,dog,0.0159
2005,horse,0.0181
2006,dog,0.0164
2007,bird,0.0155
2008,frog,0.0177
2009,plane,0.0159
2010,dog,0.0166
2011,plane,0.0172
2012,plane,0.0169
2013,horse,0.0163
2014,bird,0.0162
2015,deer,0.0154
2016,cat,0.0164
2017,cat,0.0164
2018,horse,0.0169
2019,dog,0.0153
2020,dog,0.0164
2021,bird,0.0159
2022,deer,0.0176
2023,bird,0.0172
2024,horse,0.0185
2025,frog,0.016
2026,deer,0.0163
2027,cat,0.0177
2028,frog,0.016
2029,plane,0.0184
2030,horse,0.0167
2031,horse,0.0158
2032,dog,0.0164
2033,cat,0.0172
2034,deer,0.0157
2035,cat,0.0179
2036,deer,0.0162
2037,deer,0.0153
2038,bird,0.0173
2039,cat,0.0162
2040,horse,0.0171
2041,cat,0.0167
2042,dog,0.0168
2043,dog,0.0173
2044,deer,0.0163
2045,dog,0.017
2046,dog,0.0171
2047,dog,0.0159
2048,dog,0.0169
2049,cat,0.0158
2050,dog,0.0159
2051,deer,0.0156
2052,dog,0.0166
2053,cat,0.016
2054,dog,0.0165
2055,cat,0.0168
2056,horse,0.0165
2057,cat,0.0159
2058,cat,0.0148
2059,car,0.0183
2060,cat,0.016
2061,cat,0.0172
2062,bird,0.0178
2063,cat,0.0154
2064,cat,0.0175
2065,plane,0.0175
2066,dog,0.0162
2067,cat,0.0173
2068,deer,0.0175
2069,cat,0.0169
2070,deer,0.0169
2071,dog,0.016
2072,bird,0.0166
2073,horse,0.0161
2074,frog,0.0162
2075,plane,0.0171
2076,frog,0.0161
2077,cat,0.0177
2078,cat,0.0192
2079,dog,0.0169
2080,cat,0.0154
2081,truck,0.0167
2082,deer,0.0177
2083,frog,0.0176
2084,bird,0.018
2085,cat,0.0178
2086,cat,0.0163
2087,dog,0.0163
2088,bird,0.0151
2089,cat,0.0167
2090,cat,0.016
2091,horse,0.0167
2092,cat,0.017
2093,horse,0.0177
2094,cat,0.0152
2095,cat,0.0182
2096,dog,0.0149
2097,frog,0.0171
2098,cat,0.0163
2099,frog,0.0176
2100,plane,0.016
2101,dog,0.0177
2102,deer,0.0174
2103,plane,0.0176
2104,dog,0.0182
2105,dog,0.0164
2106,bird,0.0163
2107,horse,0.0155
2108,deer,0.0169
2109,bird,0.017
2110,cat,0.0159
2111,horse,0.0166
2112,cat,0.0181
2113,dog,0.0167
2114,plane,0.0177
2115,frog,0.0171
2116,bird,0.0159
2117,horse,0.0154
2118,bird,0.0168
2119,dog,0.0188
2120,dog,0.0164
2121,cat,0.0163
2122,car,0.0163
2123,dog,0.0165
2124,dog,0.0172
2125,cat,0.0169
2126,dog,0.0175
2127,deer,0.0171
2128,deer,0.0184
2129,horse,0.0173
2130,horse,0.0167
2131,bird,0.0176
2132,plane,0.0162
2133,deer,0.017
2134,cat,0.0169
2135,cat,0.0182
2136,deer,0.0182
2137,cat,0.0162
2138,bird,0.0177
2139,dog,0.0162
2140,bird,0.018
2141,horse,0.0177
2142,ship,0.0155
2143,ship,0.0178
2144,frog,0.0169
2145,cat,0.0167
2146,cat,0.017
2147,cat,0.0165
2148,dog,0.0161
2149,horse,0.0164
2150,frog,0.0167
2151,horse,0.0175
2152,deer,0.016
2153,bird,0.0163
2154,horse,0.0158
2155,plane,0.0157
2156,deer,0.017
2157,plane,0.0159
2158,frog,0.0163
2159,bird,0.0167
2160,dog,0.0182
2161,frog,0.0183
2162,plane,0.0161
2163,cat,0.0168
2164,cat,0.0159
2165,frog,0.0176
2166,horse,0.0186
2167,cat,0.018
2168,cat,0.016
2169,car,0.0163
2170,horse,0.0159
2171,horse,0.0175
2172,cat,0.0177
2173,cat,0.0163
2174,frog,0.0157
2175,ship,0.0158
2176,bird,0.0173
2177,deer,0.016
2178,cat,0.0163
2179,cat,0.0153
2180,dog,0.0169
2181,deer,0.0169
2182,bird,0.0166
2183,ship,0.0164
2184,frog,0.0164
2185,cat,0.0162
2186,horse,0.0153
2187,deer,0.0155
2188,bird,0.0171
2189,bird,0.018
2190,bird,0.0165
2191,bird,0.016
2192,frog,0.0155
2193,horse,0.0157
2194,horse,0.0177
2195,frog,0.0166
2196,bird,0.0176
2197,bird,0.0176
2198,horse,0.0162
2199,bird,0.0162
2200,truck,0.0161
2201,ship,0.0173
2202,frog,0.0158
2203,dog,0.0182
2204,cat,0.0168
2205,cat,0.016
2206,bird,0.0161
2207,horse,0.0158
2208,bird,0.0171
2209,horse,0.0185
2210,frog,0.0183
2211,plane,0.0172
2212,dog,0.0171
2213,frog,0.0175
2214,dog,0.0189
2215,plane,0.0162
2216,cat,0.018
2217,deer,0.0167
2218,dog,0.0186
2219,bird,0.0184
2220,bird,0.0166
2221,car,0.0157
2222,deer,0.0181
2223,cat,0.0161
2224,cat,0.0157
2225,horse,0.0169
2226,dog,0.0157
2227,deer,0.0178
2228,ship,0.0156
2229,dog,0.0156
2230,cat,0.0189
2231,deer,0.0157
2232,bird,0.0176
2233,dog,0.017
2234,dog,0.0152
2235,dog,0.0156
2236,cat,0.0155
2237,deer,0.0179
2238,bird,0.0154
2239,bird,0.0159
2240,dog,0.0161
2241,frog,0.0149
2242,horse,0.0154
2243,frog,0.0163
2244,cat,0.0158
2245,bird,0.0181
2246,dog,0.0179
2247,bird,0.0181
2248,horse,0.0155
2249,bird,0.0163
2250,bird,0.0161
2251,deer,0.0166
2252,dog,0.018
2253,cat,0.0158
2254,bird,0.0164
2255,horse,0.0165
2256,horse,0.0158
2257,plane,0.0183
2258,dog,0.0166
2259,bird,0.0172
2260,deer,0.0169
2261,frog,0.0173
2262,cat,0.0157
2263,dog,0.0175
2264,deer,0.0166
2265,bird,0.0166
2266,horse,0.0156
2267,frog,0.0159
2268,cat,0.0161
2269,horse,0.0167
2270,deer,0.018
2271,bird,0.0166
2272,deer,0.0157
2273,cat,0.0178
2274,bird,0.0155
2275,deer,0.018
2276,frog,0.0164
2277,truck,0.0156
2278,bird,0.0169
2279,truck,0.0181
2280,dog,0.0153
2281,bird,0.0161
2282,ship,0.0191
2283,dog,0.0163
2284,deer,0.016
2285,frog,0.0182
2286,horse,0.0168
2287,bird,0.0161
2288,bird,0.0173
2289,deer,0.0183
2290,cat,0.0162
2291,plane,0.0151
2292,cat,0.0165
2293,horse,0.0161
2294,frog,0.0163
2295,ship,0.0168
2296,cat,0.0175
2297,cat,0.0179
2298,dog,0.0183
2299,horse,0.0169
2300,bird,0.0172
2301,plane,0.0169
2302,horse,0.0179
2303,cat,0.0171
2304,cat,0.0164
2305,dog,0.0175
2306,cat,0.0162
2307,dog,0.0177
2308,dog,0.0169
2309,plane,0.015
2310,bird,0.0161
2311,horse,0.0161
2312,plane,0.0156
2313,cat,0.0182
2314,cat,0.0165
2315,horse,0.0166
2316,bird,0.018
2317,cat,0.0168
2318,horse,0.0165
2319,dog,0.0161
2320,cat,0.0172
2321,dog,0.0167
2322,cat,0.016
2323,dog,0.0166
2324,horse,0.0177
2325,bird,0.0181
2326,bird,0.016
2327,dog,0.0181
2328,cat,0.0163
2329,bird,0.0165
2330,frog,0.0155
2331,horse,0.0166
2332,dog,0.0175
2333,dog,0.0153
2334,bird,0.0166
2335,frog,0.0157
2336,dog,0.0179
2337,dog,0.0168
2338,bird,0.0166
2339,deer,0.0156
2340,dog,0.0156
2341,dog,0.0166
2342,bird,0.0154
2343,deer,0.0182
2344,deer,0.0168
2345,dog,0.0188
2346,bird,0.017
2347,cat,0.0185
2348,dog,0.0191
2349,deer,0.018
2350,dog,0.0179
2351,bird,0.0175
2352,horse,0.0171
2353,dog,0.0175
2354,cat,0.0165
2355,horse,0.0186
2356,bird,0.0171
2357,car,0.0176
2358,dog,0.0155
2359,truck,0.0166
2360,cat,0.0185
2361,bird,0.0173
2362,horse,0.0171
2363,frog,0.0179
2364,bird,0.0161
2365,bird,0.0182
2366,deer,0.0169
2367,cat,0.0167
2368,cat,0.0155
2369,deer,0.0159
2370,dog,0.0158
2371,cat,0.0177
2372,bird,0.0162
2373,frog,0.0189
2374,plane,0.0184
2375,plane,0.0156
2376,truck,0.0172
2377,deer,0.0166
2378,dog,0.0175
2379,deer,0.016
2380,dog,0.0169
2381,cat,0.0168
2382,cat,0.016
2383,horse,0.0166
2384,bird,0.0161
2385,cat,0.0159
2386,cat,0.0173
2387,dog,0.0171
2388,deer,0.0161
2389,bird,0.0172
2390,dog,0.0171
2391,frog,0.0162
2392,deer,0.0163
2393,dog,0.0162
2394,bird,0.0157
2395,horse,0.0168
2396,dog,0.0186
2397,bird,0.0176
2398,dog,0.0161
2399,frog,0.0156
2400,cat,0.0177
2401,cat,0.0158
2402,dog,0.0176
2403,cat,0.0165
2404,dog,0.0157
2405,dog,0.0161
2406,cat,0.0171
2407,cat,0.0167
2408,cat,0.0167
2409,bird,0.0166
2410,bird,0.018
2411,bird,0.0171
2412,car,0.0169
2413,bird,0.0164
2414,deer,0.0163
2415,frog,0.0164
2416,car,0.0185
2417,cat,0.0176
2418,dog,0.0176
2419,deer,0.0169
2420,frog,0.0159
2421,cat,0.017
2422,ship,0.0173
2423,bird,0.016
2424,deer,0.018
2425,frog,0.0163
2426,dog,0.0173
2427,truck,0.0159
2428,plane,0.0182
2429,horse,0.0162
2430,horse,0.0163
2431,frog,0.0164
2432,dog,0.0175
2433,truck,0.0159
2434,dog,0.0176
2435,bird,0.0158
2436,deer,0.0189
2437,bird,0.0171
2438,bird,0.0165
2439,bird,0.0158
2440,frog,0.0158
2441,ship,0.0183
2442,truck,0.0166
2443,dog,0.0179
2444,car,0.016
2445,cat,0.0182
2446,bird,0.0155
2447,cat,0.0164
2448,ship,0.015
2449,dog,0.0162
2450,dog,0.0161
2451,dog,0.0163
2452,horse,0.0172
2453,dog,0.0162
2454,horse,0.0169
2455,plane,0.0158
2456,horse,0.0166
2457,deer,0.0182
2458,plane,0.016
2459,bird,0.0163
2460,bird,0.0164
2461,bird,0.0161
2462,bird,0.0172
2463,horse,0.0158
2464,horse,0.018
2465,horse,0.0165
2466,bird,0.0164
2467,dog,0.015
2468,bird,0.0179
2469,bird,0.0174
2470,frog,0.0169
2471,deer,0.0161
2472,bird,0.0166
2473,dog,0.0176
2474,dog,0.0165
2475,deer,0.0179
2476,dog,0.0172
2477,ship,0.0159
2478,horse,0.0159
2479,cat,0.0168
2480,dog,0.0169
2481,deer,0.0165
2482,bird,0.0164
2483,cat,0.0182
2484,cat,0.0178
2485,cat,0.0165
2486,deer,0.0164
2487,horse,0.0154
2488,horse,0.0151
2489,cat,0.0174
2490,cat,0.0177
2491,ship,0.0104
2492,ship,0.0098
2493,ship,0.0092
2494,ship,0.0104
2495,ship,0.0093
2496,ship,0.0097
2497,ship,0.0096
2498,ship,0.0088
2499,ship,0.0094
2500,ship,0.0088
2501,ship,0.0096
2502,ship,0.01
2503,ship,0.0094
2504,ship,0.009
2505,ship,0.0097
2506,ship,0.009
2507,ship,0.0093
2508,ship,0.0095
2509,ship,0.0087
2510,ship,0.0088
2511,ship,0.0092
2512,ship,0.0091
2513,ship,0.0092
2514,ship,0.0091
2515,ship,0.0151
2516,truck,0.0145
2517,truck,0.0135
2518,dog,0.0146
2519,horse,0.0134
2520,car,0.0135
2521,truck,0.0148
2522,frog,0.0159
2523,truck,0.0142
2524,plane,0.0137
2525,deer,0.0146
2526,truck,0.0152
2527,truck,0.0147
2528,frog,0.0159
2529,ship,0.0145
2530,ship,0.016
2531,truck,0.0147
2532,dog,0.0146
2533,ship,0.0158
2534,horse,0.0146
2535,truck,0.0151
2536,bird,0.0146
2537,truck,0.0147
2538,truck,0.0158
2539,deer,0.0146
2540,truck,0.0146
2541,truck,0.0158
2542,truck,0.0154
2543,frog,0.0164
2544,horse,0.0158
2545,frog,0.0157
2546,frog,0.0166
2547,frog,0.0161
2548,truck,0.0162
2549,dog,0.0146
2550,car,0.0139
2551,truck,0.0158
2552,plane,0.0148
2553,truck,0.016
2554,car,0.0147
2555,truck,0.0142
2556,deer,0.0144
2557,horse,0.0143
2558,truck,0.0155
2559,truck,0.0146
2560,plane,0.0136
2561,deer,0.0146
2562,frog,0.0161
2563,horse,0.0146
2564,plane,0.0158
2565,plane,0.0145
2566,truck,0.0142
2567,truck,0.0146
2568,truck,0.0134
2569,plane,0.0146
2570,dog,0.0146
2571,horse,0.0145
2572,plane,0.0151
2573,horse,0.0158
2574,ship,0.0142
2575,plane,0.0156
2576,truck,0.0147
2577,car,0.0158
2578,truck,0.0138
2579,truck,0.0155
2580,frog,0.0149
2581,deer,0.0168
2582,truck,0.0146
2583,plane,0.0149
2584,deer,0.0153
2585,horse,0.0165
2586,plane,0.0134
2587,plane,0.0164
2588,plane,0.0138
2589,truck,0.0141
2590,horse,0.0146
2591,frog,0.0141
2592,plane,0.0151
2593,dog,0.0141
2594,plane,0.0158
2595,horse,0.0155
2596,dog,0.0151
2597,plane,0.0161
2598,frog,0.0147
2599,frog,0.0138
2600,truck,0.0138
2601,plane,0.0139
2602,horse,0.0135
2603,frog,0.0154
2604,ship,0.0162
2605,frog,0.0144
2606,truck,0.0146
2607,horse,0.0141
2608,frog,0.0134
2609,truck,0.0149
2610,deer,0.0165
2611,dog,0.0148
2612,truck,0.014
2613,truck,0.0141
2614,horse,0.014
2615,car,0.0144
2616,deer,0.0135
2617,truck,0.0136
2618,truck,0.0147
2619,dog,0.0138
2620,cat,0.0154
2621,truck,0.0149
2622,horse,0.0144
2623,truck,0.0147
2624,plane,0.0159
2625,deer,0.0146
2626,car,0.0143
2627,deer,0.0152
2628,horse,0.016
2629,frog,0.0137
2630,plane,0.0139
2631,truck,0.0161
2632,truck,0.0142
2633,horse,0.0143
2634,truck,0.0137
2635,plane,0.0146
2636,ship,0.0161
2637,horse,0.0135
2638,deer,0.0156
2639,deer,0.0159
2640,bird,0.0135
2641,horse,0.0152
2642,dog,0.0142
2643,car,0.0142
2644,dog,0.0154
2645,dog,0.0136
2646,truck,0.014
2647,truck,0.0155
2648,truck,0.0134
2649,truck,0.0145
2650,frog,0.0145
2651,ship,0.0143
2652,truck,0.0162
2653,truck,0.0138
2654,truck,0.0157
2655,plane,0.0163
2656,car,0.0159
2657,ship,0.0142
2658,cat,0.0153
2659,truck,0.0152
2660,car,0.0151
2661,deer,0.0146
